,tweet_id,retweet_count,favorite_count
0,892420643555336193,7651,35962
1,892177421306343426,5649,31035
2,891815181378084864,3747,23356
3,891689557279858688,7815,39263
4,891327558926688256,8410,37503
5,891087950875897856,2819,18889
6,890971913173991426,1839,10976
7,890729181411237888,17065,60580
8,890609185150312448,3885,25991
9,890240255349198849,6644,29699
10,890006608113172480,6626,28592
11,889880896479866881,4508,26007
12,889665388333682689,9040,44755
13,889638837579907072,4054,25182
14,889531135344209921,2044,14127
15,889278841981685760,4826,23463
16,888917238123831296,4064,27129
17,888804989199671297,3833,23827
18,888554962724278272,3145,18392
19,888078434458587136,3140,20287
20,887705289381826560,4887,28183
21,887517139158093824,10660,43239
22,887473957103951883,16287,64077
23,887343217045368832,9482,31375
24,887101392804085760,5403,28551
25,886983233522544640,6937,32537
26,886736880519319552,2908,11160
27,886680336477933568,4054,20945
28,886366144734445568,2869,19700
29,886267009285017600,4,111
30,886258384151887873,5717,26080
31,886054160059072513,100,0
32,885984800019947520,6082,30370
33,885528943205470208,5783,33490
34,885518971528720385,3382,19088
35,885311592912609280,16761,0
36,885167619883638784,3956,20393
37,884925521741709313,16366,71837
38,884876753390489601,5047,25932
39,884562892145688576,4254,22652
40,884441805382717440,5155,25265
41,884247878851493888,18388,67644
42,884162670584377345,2712,19021
43,883838122936631299,3104,20374
44,883482846933004288,8946,42725
45,883360690899218434,3351,21128
46,883117836046086144,6016,34602
47,882992080364220416,3520,22276
48,882762694511734784,4425,26330
49,882627270321602560,5502,26100
50,882268110199369728,10482,41774
51,882045870035918850,4419,27339
52,881906580714921986,3081,22702
53,881666595344535552,9661,47228
54,881633300179243008,7,117
55,881536004380872706,14476,46111
56,881268444196462592,4783,21662
57,880935762899988482,2534,15954
58,880872448815771648,3470,19840
59,880465832366813184,5634,26544
60,880221127280381952,3780,25151
61,880095782870896641,3932,25759
62,879862464715927552,3167,20855
63,879674319642796034,10,293
64,879492040517615616,2896,21910
65,879415818425184262,40311,98674
66,879376492567855104,2837,15690
67,879130579576475649,6171,0
68,879050749262655488,4266,21027
69,879008229531029506,2429,17747
70,878776093423087618,3709,18084
71,878604707211726852,6432,28129
72,878404777348136964,1165,0
73,878316110768087041,6041,0
74,878281511006478336,1165,7217
75,878057613040115712,6171,39289
76,877736472329191424,17218,73939
77,877611172832227328,73,0
78,877556246731214848,3456,21197
79,877316821321428993,4734,25582
80,877201837425926144,5067,25324
81,876838120628539392,3031,19338
82,876537666061221889,4270,22135
83,876484053909872640,2155,17556
84,876120275196170240,4246,26160
85,875747767867523072,3888,23512
86,875144289856114688,4463,20505
87,875097192612077568,5532,25644
88,875021211251597312,4296,23863
89,874680097055178752,4218,26024
90,874434818259525634,13244,0
91,874296783580663808,3751,24376
92,874057562936811520,3630,21276
93,874012996292530176,9345,32088
94,873580283840344065,3599,22701
95,873337748698140672,1454,0
96,873213775632977920,1454,6711
97,872967104147763200,4952,25540
98,872820683541237760,3406,13822
99,872620804844003328,3335,19446
100,872486979161796608,8277,38252
101,872122724285648897,7404,32192
102,871879754684805121,10059,35288
103,871762521631449091,3199,19000
104,871515927908634625,3190,18949
105,871166179821445120,5246,0
106,871102520638267392,5055,19664
107,871032628920680449,3512,21369
108,870804317367881728,5691,31656
109,870726314365509632,3,114
110,870656317836468226,2418,11620
111,870374049280663552,24394,78169
112,870308999962521604,3813,20632
113,870063196459192321,7653,34398
114,869772420881756160,9337,40119
115,869702957897576449,5809,26595
116,869596645499047938,2882,15048
117,869227993411051520,3480,19255
118,868880397819494401,13334,61721
119,868639477480148993,1918,0
120,868622495443632128,4898,25162
121,868552278524837888,1918,9513
122,867900495410671616,3869,22867
123,867774946302451713,6805,32099
124,867421006826221569,2303,15197
125,867072653475098625,110,0
126,867051520902168576,7314,30491
127,866720684873056260,4452,18942
128,866686824827068416,3240,18243
129,866450705531457537,32686,115734
130,866334964761202691,13243,49606
131,866094527597207552,7793,0
132,865718153858494464,5223,24324
133,865359393868664832,4659,25070
134,865006731092295680,7163,26585
135,864873206498414592,8099,30626
136,864279568663928832,2816,13838
137,864197398364647424,8256,28454
138,863907417377173506,3862,19564
